id,field_p_text
1,"<h2>Egone quaeris, inquit, quid sentiam?</h2> <p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. <i>Non laboro, inquit, de nomine.</i> Nihil enim hoc differt. </p> <ul> <li>Ne amores quidem sanctos a sapiente alienos esse arbitrantur.</li> <li>Etenim nec iustitia nec amicitia esse omnino poterunt, nisi ipsae per se expetuntur.</li> <li>Quae diligentissime contra Aristonem dicuntur a Chryippo.</li> <li>Ut in voluptate sit, qui epuletur, in dolore, qui torqueatur.</li> <li>Etsi qui potest intellegi aut cogitari esse aliquod animal, quod se oderit?</li> <li>Aeque enim contingit omnibus fidibus, ut incontentae sint.</li> </ul> <blockquote cite=""http://loripsum.net""> Nam aut privatim aliquid gerere malunt aut, qui attore animo sunt, capessunt rem publicam honoribus imperiisque adipiscendis aut totos se ad studia doctrinae conferunt. </blockquote> <pre>Nam haec ipsa mihi erunt in promptu, quae modo audivi, nec ante aggrediar, quam te ab istis, quos dicis, instructum videro. Hoc positum in Phaedro a Platone probavit Epicurus sensitque in omni disputatione id fieri oportere. </pre> <h2>Si longus, levis dictata sunt.</h2> <p><a href=""http://loripsum.net/"" target=""_blank"">Duo Reges: constructio interrete.</a> An haec ab eo non dicuntur? Certe, nisi voluptatem tanti aestimaretis. Iam in altera philosophiae parte. </p> <ol> <li>Qualem igitur hominem natura inchoavit?</li> <li>Quasi ego id curem, quid ille aiat aut neget.</li> <li>Quid vero?</li> <li>Id enim volumus, id contendimus, ut officii fructus sit ipsum officium.</li> </ol> <p><a href=""http://loripsum.net/"" target=""_blank"">Ita prorsus, inquam;</a> Qua tu etiam inprudens utebare non numquam. Haec dicuntur inconstantissime. An eiusdem modi? <b>Poterat autem inpune;</b> </p> <dl> <dt><dfn>Recte, inquit, intellegis.</dfn></dt> <dd>Ut necesse sit omnium rerum, quae natura vigeant, similem esse finem, non eundem.</dd> <dt><dfn>Quis enim redargueret?</dfn></dt> <dd>Neque enim civitas in seditione beata esse potest nec in discordia dominorum domus;</dd> <dt><dfn>Ergo, inquit, tibi Q.</dfn></dt> <dd>Comprehensum, quod cognitum non habet?</dd> <dt><dfn>Pollicetur certe.</dfn></dt> <dd>Sic enim censent, oportunitatis esse beate vivere.</dd> <dt><dfn>Numquam facies.</dfn></dt> <dd>Octavio fuit, cum illam severitatem in eo filio adhibuit, quem in adoptionem D.</dd> </dl> <h3>Ergo hoc quidem apparet, nos ad agendum esse natos.</h3> <p>Iubet igitur nos Pythius Apollo noscere nosmet ipsos. An haec ab eo non dicuntur? Quae quo sunt excelsiores, eo dant clariora indicia naturae. <a href=""http://loripsum.net/"" target=""_blank"">Sed quid sentiat, non videtis.</a> <a href=""http://loripsum.net/"" target=""_blank"">Cyrenaici quidem non recusant;</a> Iam in altera philosophiae parte. </p> <h4>Nonne videmus quanta perturbatio rerum omnium consequatur, quanta confusio?</h4> <p>Quod ea non occurrentia fingunt, vincunt Aristonem; Hoc Hieronymus summum bonum esse dixit. Videsne quam sit magna dissensio? Sed plane dicit quod intellegit. Tecum optime, deinde etiam cum mediocri amico. <b>De illis, cum volemus.</b> </p>"
2,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Summum ením bonum exposuit vacuitatem doloris; Quod quidem iam fit etiam in Academia. Mihi enim satis est, ipsis non satis. Occultum facinus esse potuerit, gaudebit; Duo Reges: constructio interrete. Heri, inquam, ludis commissis ex urbe profectus veni ad vesperum. </p><ul>	<li>Certe nihil nisi quod possit ipsum propter se iure laudari.</li>	<li>Sit enim idem caecus, debilis.</li></ul><p>Nam his libris eum malo quam reliquo ornatu villae delectari. Quae cum dixisset paulumque institisset, Quid est? Nam si beatus umquam fuisset, beatam vitam usque ad illum a Cyro extructum rogum pertulisset. Fortasse id optimum, sed ubi illud: Plus semper voluptatis? Nam his libris eum malo quam reliquo ornatu villae delectari. Sed quanta sit alias, nunc tantum possitne esse tanta. Quae in controversiam veniunt, de iis, si placet, disseramus. Hanc ergo intuens debet institutum illud quasi signum absolvere. Quis est enim, in quo sit cupiditas, quin recte cupidus dici possit? </p><p>Placet igitur tibi, Cato, cum res sumpseris non concessas, ex illis efficere, quod velis? Respondeat totidem verbis. Tum ille: Tu autem cum ipse tantum librorum habeas, quos hic tandem requiris? Ut in geometria, prima si dederis, danda sunt omnia. <a href=""http://loripsum.net/"" target=""_blank"">Sed ego in hoc resisto;</a> Summum a vobis bonum voluptas dicitur. Illis videtur, qui illud non dubitant bonum dicere -; <i>Est enim effectrix multarum et magnarum voluptatum.</i> Neque solum ea communia, verum etiam paria esse dixerunt. Ubi ut eam caperet aut quando? Roges enim Aristonem, bonane ei videantur haec: vacuitas doloris, divitiae, valitudo; Innumerabilia dici possunt in hanc sententiam, sed non necesse est. </p>"
3,"<h2>Quando enim Socrates, qui parens philosophiae iure dici potest, quicquam tale fecit?</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Atque hoc loco similitudines eas, quibus illi uti solent, dissimillimas proferebas. Que Manilium, ab iisque M. Scaevola tribunus plebis ferret ad plebem vellentne de ea re quaeri. Bestiarum vero nullum iudicium puto. Duo Reges: constructio interrete. Oratio me istius philosophi non offendit; Sed ego in hoc resisto; Nonne videmus quanta perturbatio rerum omnium consequatur, quanta confusio? <a href=""http://loripsum.net/"" target=""_blank"">Gloriosa ostentatio in constituendo summo bono.</a> </p>

<p><i>Et quidem, inquit, vehementer errat;</i> Ergo, si semel tristior effectus est, hilara vita amissa est? Polycratem Samium felicem appellabant. Sed quid minus probandum quam esse aliquem beatum nec satis beatum? Quonam, inquit, modo? <a href=""http://loripsum.net/"" target=""_blank"">Quid nunc honeste dicit?</a> <b>Stoicos roga.</b> </p>

<p>Non quam nostram quidem, inquit Pomponius iocans; <a href=""http://loripsum.net/"" target=""_blank"">Quare attende, quaeso.</a> <a href=""http://loripsum.net/"" target=""_blank"">Ego vero isti, inquam, permitto.</a> <a href=""http://loripsum.net/"" target=""_blank"">Tum mihi Piso: Quid ergo?</a> <a href=""http://loripsum.net/"" target=""_blank"">Scaevolam M.</a> Quid est, quod ab ea absolvi et perfici debeat? </p>

<p>Deinceps videndum est, quoniam satis apertum est sibi quemque natura esse carum, quae sit hominis natura. <mark>Aut haec tibi, Torquate, sunt vituperanda aut patrocinium voluptatis repudiandum.</mark> An vero displicuit ea, quae tributa est animi virtutibus tanta praestantia? Egone quaeris, inquit, quid sentiam? </p>

"
4,"<h2>Tum ille: Ain tandem?</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Conferam tecum, quam cuique verso rem subicias; <b>Minime vero, inquit ille, consentit.</b> <mark>Sint modo partes vitae beatae.</mark> <a href=""http://loripsum.net/"" target=""_blank"">Duo Reges: constructio interrete.</a> Habent enim et bene longam et satis litigiosam disputationem. An tu me de L. <i>Efficiens dici potest.</i> Mene ergo et Triarium dignos existimas, apud quos turpiter loquare? </p>

<p><a href=""http://loripsum.net/"" target=""_blank"">Negat enim summo bono afferre incrementum diem.</a> Graecis hoc modicum est: Leonidas, Epaminondas, tres aliqui aut quattuor; Equidem, sed audistine modo de Carneade? Certe, nisi voluptatem tanti aestimaretis. <mark>Eam tum adesse, cum dolor omnis absit;</mark> <a href=""http://loripsum.net/"" target=""_blank"">Praeclare hoc quidem.</a> </p>

<h2>Quid igitur, inquit, eos responsuros putas?</h2>

<p>Quare si potest esse beatus is, qui est in asperis reiciendisque rebus, potest is quoque esse. <a href=""http://loripsum.net/"" target=""_blank"">Mihi quidem Antiochum, quem audis, satis belle videris attendere.</a> Quamvis enim depravatae non sint, pravae tamen esse possunt. Animi enim quoque dolores percipiet omnibus partibus maiores quam corporis. Tenesne igitur, inquam, Hieronymus Rhodius quid dicat esse summum bonum, quo putet omnia referri oportere? Cur fortior sit, si illud, quod tute concedis, asperum et vix ferendum putabit? Quod autem satis est, eo quicquid accessit, nimium est; Quis enim est, qui non videat haec esse in natura rerum tria? </p>

<p>Si alia sentit, inquam, alia loquitur, numquam intellegam quid sentiat; <a href=""http://loripsum.net/"" target=""_blank"">Hoc est non dividere, sed frangere.</a> Mihi enim erit isdem istis fortasse iam utendum. <i>Quis Aristidem non mortuum diligit?</i> Vidit Homerus probari fabulam non posse, si cantiunculis tantus irretitus vir teneretur; Scaevola tribunus plebis ferret ad plebem vellentne de ea re quaeri. Sed tamen intellego quid velit. Qui est in parvis malis. Quod praeceptum quia maius erat, quam ut ab homine videretur, idcirco assignatum est deo. Nemo nostrum istius generis asotos iucunde putat vivere. <a href=""http://loripsum.net/"" target=""_blank"">Eadem nunc mea adversum te oratio est.</a> </p>

"
5,"<h2>Tria genera bonorum;</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nunc haec primum fortasse audientis servire debemus. Duo Reges: constructio interrete. Nam et complectitur verbis, quod vult, et dicit plane, quod intellegam; <a href=""http://loripsum.net/"" target=""_blank"">Ut id aliis narrare gestiant?</a> Sic enim censent, oportunitatis esse beate vivere. <b>Huius, Lyco, oratione locuples, rebus ipsis ielunior.</b> Omnia contraria, quos etiam insanos esse vultis. Innumerabilia dici possunt in hanc sententiam, sed non necesse est. Atque haec ita iustitiae propria sunt, ut sint virtutum reliquarum communia. Septem autem illi non suo, sed populorum suffragio omnium nominati sunt. </p>

<p>Cur tantas regiones barbarorum pedibus obiit, tot maria transmisit? Plane idem, inquit, et maxima quidem, qua fieri nulla maior potest. Ad corpus diceres pertinere-, sed ea, quae dixi, ad corpusne refers? <i>Quid de Pythagora?</i> An ea, quae per vinitorem antea consequebatur, per se ipsa curabit? <b>Dat enim intervalla et relaxat.</b> Quid est igitur, inquit, quod requiras? Vide ne ista sint Manliana vestra aut maiora etiam, si imperes quod facere non possim. Et ille ridens: Video, inquit, quid agas; <a href=""http://loripsum.net/"" target=""_blank"">Philosophi autem in suis lectulis plerumque moriuntur.</a> Quasi ego id curem, quid ille aiat aut neget. Aperiendum est igitur, quid sit voluptas; </p>

<p>Nosti, credo, illud: Nemo pius est, qui pietatem-; <a href=""http://loripsum.net/"" target=""_blank"">Proclivi currit oratio.</a> Atque his de rebus et splendida est eorum et illustris oratio. <a href=""http://loripsum.net/"" target=""_blank"">Ita ne hoc quidem modo paria peccata sunt.</a> Indicant pueri, in quibus ut in speculis natura cernitur. Ergo hoc quidem apparet, nos ad agendum esse natos. </p>

<p>Estne, quaeso, inquam, sitienti in bibendo voluptas? Et si turpitudinem fugimus in statu et motu corporis, quid est cur pulchritudinem non sequamur? Aliter homines, aliter philosophos loqui putas oportere? Quo plebiscito decreta a senatu est consuli quaestio Cn. Summum ením bonum exposuit vacuitatem doloris; Quid, quod res alia tota est? Et homini, qui ceteris animantibus plurimum praestat, praecipue a natura nihil datum esse dicemus? <a href=""http://loripsum.net/"" target=""_blank"">Res enim concurrent contrariae.</a> <a href=""http://loripsum.net/"" target=""_blank"">Idem iste, inquam, de voluptate quid sentit?</a> Estne, quaeso, inquam, sitienti in bibendo voluptas? Qui autem esse poteris, nisi te amor ipse ceperit? <i>Quod quidem nobis non saepe contingit.</i> </p>

"
6,"<h2>Graecum enim hunc versum nostis omnes-: Suavis laborum est praeteritorum memoria.</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Duo Reges: constructio interrete. Ab hoc autem quaedam non melius quam veteres, quaedam omnino relicta. <b>Nam Pyrrho, Aristo, Erillus iam diu abiecti.</b> Utinam quidem dicerent alium alio beatiorem! Iam ruinas videres. Ea possunt paria non esse. <i>Quonam, inquit, modo?</i> Earum etiam rerum, quas terra gignit, educatio quaedam et perfectio est non dissimilis animantium. </p>

<p><a href=""http://loripsum.net/"" target=""_blank"">Quis negat?</a> Quem ad modum quis ambulet, sedeat, qui ductus oris, qui vultus in quoque sit? <b>At eum nihili facit;</b> </p>

<p>Quid ergo attinet gloriose loqui, nisi constanter loquare? Nisi autem rerum natura perspecta erit, nullo modo poterimus sensuum iudicia defendere. <a href=""http://loripsum.net/"" target=""_blank"">Quod autem principium officii quaerunt, melius quam Pyrrho;</a> Itaque primos congressus copulationesque et consuetudinum instituendarum voluntates fieri propter voluptatem; Ex quo intellegitur officium medium quiddam esse, quod neque in bonis ponatur neque in contrariis. Quid enim de amicitia statueris utilitatis causa expetenda vides. </p>

<h2>Avaritiamne minuis?</h2>

<p><b>Si longus, levis;</b> <i>Quis enim redargueret?</i> Quid igitur dubitamus in tota eius natura quaerere quid sit effectum? An ea, quae per vinitorem antea consequebatur, per se ipsa curabit? Itaque et manendi in vita et migrandi ratio omnis iis rebus, quas supra dixi, metienda. Scisse enim te quis coarguere possit? <b>Illa tamen simplicia, vestra versuta.</b> Quod quidem nobis non saepe contingit. Quod dicit Epicurus etiam de voluptate, quae minime sint voluptates, eas obscurari saepe et obrui. Teneo, inquit, finem illi videri nihil dolere. </p>

"
7,"<h2>Eam stabilem appellas.</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Esse enim quam vellet iniquus iustus poterat inpune. Sed ad haec, nisi molestum est, habeo quae velim. Duo Reges: constructio interrete. Tum mihi Piso: Quid ergo? Ego quoque, inquit, didicerim libentius si quid attuleris, quam te reprehenderim. Bestiarum vero nullum iudicium puto. Sed plane dicit quod intellegit. </p>

<p>Ut pulsi recurrant? <a href=""http://loripsum.net/"" target=""_blank"">Sed ad bona praeterita redeamus.</a> Pauca mutat vel plura sane; Huic mori optimum esse propter desperationem sapientiae, illi propter spem vivere. </p>

<p><a href=""http://loripsum.net/"" target=""_blank"">Immo videri fortasse.</a> Sint modo partes vitae beatae. </p>

<h2>Non autem hoc: igitur ne illud quidem.</h2>

<p>Sed quia studebat laudi et dignitati, multum in virtute processerat. Claudii libidini, qui tum erat summo ne imperio, dederetur. <b>Traditur, inquit, ab Epicuro ratio neglegendi doloris.</b> Minime vero istorum quidem, inquit. Collige omnia, quae soletis: Praesidium amicorum. Uterque enim summo bono fruitur, id est voluptate. Videsne quam sit magna dissensio? Innumerabilia dici possunt in hanc sententiam, sed non necesse est. </p>

"
8,"<h2>Sit enim idem caecus, debilis.</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Apparet statim, quae sint officia, quae actiones. <i>Duo Reges: constructio interrete.</i> Hoc enim constituto in philosophia constituta sunt omnia. Egone quaeris, inquit, quid sentiam? Est enim effectrix multarum et magnarum voluptatum. Nihil minus, contraque illa hereditate dives ob eamque rem laetus. Maximus dolor, inquit, brevis est. <b>Dici enim nihil potest verius.</b> </p>

<h2>Videamus animi partes, quarum est conspectus illustrior;</h2>

<p><b>Comprehensum, quod cognitum non habet?</b> Illud non continuo, ut aeque incontentae. Quae cum dixisset, finem ille. <a href=""http://loripsum.net/"" target=""_blank"">Minime vero, inquit ille, consentit.</a> Quid est igitur, cur ita semper deum appellet Epicurus beatum et aeternum? <i>Inquit, dasne adolescenti veniam?</i> </p>

<h3>Nummus in Croesi divitiis obscuratur, pars est tamen divitiarum.</h3>

<p>Mihi vero, inquit, placet agi subtilius et, ut ipse dixisti, pressius. Tum mihi Piso: Quid ergo? Gerendus est mos, modo recte sentiat. Idemne potest esse dies saepius, qui semel fuit? </p>

<p>Ergo infelix una molestia, fellx rursus, cum is ipse anulus in praecordiis piscis inventus est? Hoc est vim afferre, Torquate, sensibus, extorquere ex animis cognitiones verborum, quibus inbuti sumus. Rationis enim perfectio est virtus; <mark>Quis hoc dicit?</mark> <a href=""http://loripsum.net/"" target=""_blank"">Numquam facies.</a> Ergo illi intellegunt quid Epicurus dicat, ego non intellego? In qua si nihil est praeter rationem, sit in una virtute finis bonorum; Quae quo sunt excelsiores, eo dant clariora indicia naturae. </p>

"
9,"<h2>Quae cum magnifice primo dici viderentur, considerata minus probabantur.</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Atqui, inquam, Cato, si istud optinueris, traducas me ad te totum licebit. Duo Reges: constructio interrete. Nam memini etiam quae nolo, oblivisci non possum quae volo. Id Sextilius factum negabat. Quo studio Aristophanem putamus aetatem in litteris duxisse? Aliena dixit in physicis nec ea ipsa, quae tibi probarentur; <i>Summus dolor plures dies manere non potest?</i> Hic quoque suus est de summoque bono dissentiens dici vere Peripateticus non potest. Ait enim se, si uratur, Quam hoc suave! dicturum. <i>Quam nemo umquam voluptatem appellavit, appellat;</i> </p>

<p>Neque enim civitas in seditione beata esse potest nec in discordia dominorum domus; <a href=""http://loripsum.net/"" target=""_blank"">Respondent extrema primis, media utrisque, omnia omnibus.</a> <i>Quod totum contra est.</i> Quid est igitur, cur ita semper deum appellet Epicurus beatum et aeternum? Hoc enim identidem dicitis, non intellegere nos quam dicatis voluptatem. Quid autem habent admirationis, cum prope accesseris? </p>

<h2>Sed quoniam et advesperascit et mihi ad villam revertendum est, nunc quidem hactenus;</h2>

<p>Ergo infelix una molestia, fellx rursus, cum is ipse anulus in praecordiis piscis inventus est? Et hi quidem ita non sola virtute finem bonorum contineri putant, ut rebus tamen omnibus virtutem anteponant; Sed haec ab Antiocho, familiari nostro, dicuntur multo melius et fortius, quam a Stasea dicebantur. <b>Que Manilium, ab iisque M.</b> Sedulo, inquam, faciam. </p>

<p>Pudebit te, inquam, illius tabulae, quam Cleanthes sane commode verbis depingere solebat. Aliter enim nosmet ipsos nosse non possumus. Quicquid porro animo cernimus, id omne oritur a sensibus; Quae cum essent dicta, discessimus. At enim hic etiam dolore. Ut scias me intellegere, primum idem esse dico voluptatem, quod ille don. </p>

"
10,"<h2>Conferam tecum, quam cuique verso rem subicias;</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. <a href=""http://loripsum.net/"" target=""_blank"">Expressa vero in iis aetatibus, quae iam confirmatae sunt.</a> Sic enim censent, oportunitatis esse beate vivere. Minime vero, inquit ille, consentit. Duo Reges: constructio interrete. </p>

<h2>Qui autem de summo bono dissentit de tota philosophiae ratione dissentit.</h2>

<p>Tecum optime, deinde etiam cum mediocri amico. Illa videamus, quae a te de amicitia dicta sunt. Tum Piso: Quoniam igitur aliquid omnes, quid Lucius noster? Nummus in Croesi divitiis obscuratur, pars est tamen divitiarum. <b>Hos contra singulos dici est melius.</b> <a href=""http://loripsum.net/"" target=""_blank"">Illud non continuo, ut aeque incontentae.</a> Haec bene dicuntur, nec ego repugno, sed inter sese ipsa pugnant. Non minor, inquit, voluptas percipitur ex vilissimis rebus quam ex pretiosissimis. </p>

<p>Beatus sibi videtur esse moriens. Non quam nostram quidem, inquit Pomponius iocans; </p>

<h3>Est autem etiam actio quaedam corporis, quae motus et status naturae congruentis tenet;</h3>

<p>-, sed ut hoc iudicaremus, non esse in iis partem maximam positam beate aut secus vivendi. Itaque hic ipse iam pridem est reiectus; <i>Ne discipulum abducam, times.</i> Mihi, inquam, qui te id ipsum rogavi? Qui est in parvis malis. Videsne quam sit magna dissensio? </p>

"
