id,field_p_text
1,"<h2>Non enim quaero quid verum, sed quid cuique dicendum sit.</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Huius ego nunc auctoritatem sequens idem faciam. In schola desinis. <b>Duo Reges: constructio interrete.</b> Roges enim Aristonem, bonane ei videantur haec: vacuitas doloris, divitiae, valitudo; </p>

<h3>Quae quidem vel cum periculo est quaerenda vobis;</h3>

<p>Hunc vos beatum; Hoc dixerit potius Ennius: Nimium boni est, cui nihil est mali. Perge porro; At, illa, ut vobis placet, partem quandam tuetur, reliquam deserit. Non est ista, inquam, Piso, magna dissensio. Cur igitur easdem res, inquam, Peripateticis dicentibus verbum nullum est, quod non intellegatur? Quicquid porro animo cernimus, id omne oritur a sensibus; Mihi enim satis est, ipsis non satis. </p>

<p>Compensabatur, inquit, cum summis doloribus laetitia. <b>Idemne, quod iucunde?</b> Nec lapathi suavitatem acupenseri Galloni Laelius anteponebat, sed suavitatem ipsam neglegebat; Quis animo aequo videt eum, quem inpure ac flagitiose putet vivere? Nec vero sum nescius esse utilitatem in historia, non modo voluptatem. <mark>Sed fortuna fortis;</mark> Satisne ergo pudori consulat, si quis sine teste libidini pareat? <a href=""http://loripsum.net/"" target=""_blank"">Quae ista amicitia est?</a> Nunc agendum est subtilius. Verum hoc loco sumo verbis his eandem certe vim voluptatis Epicurum nosse quam ceteros. <i>Graccho, eius fere, aequalí?</i> Atque ab his initiis profecti omnium virtutum et originem et progressionem persecuti sunt. </p>

<h2>Sed ne, dum huic obsequor, vobis molestus sim.</h2>

<p>Ita enim vivunt quidam, ut eorum vita refellatur oratio. Sextilio Rufo, cum is rem ad amicos ita deferret, se esse heredem Q. <mark>Hunc vos beatum;</mark> Immo vero, inquit, ad beatissime vivendum parum est, ad beate vero satis. ALIO MODO. </p>

<p>At ille non pertimuit saneque fidenter: Istis quidem ipsis verbis, inquit; <a href=""http://loripsum.net/"" target=""_blank"">Sed tamen intellego quid velit.</a> Id enim volumus, id contendimus, ut officii fructus sit ipsum officium. Hoc loco discipulos quaerere videtur, ut, qui asoti esse velint, philosophi ante fiant. <a href=""http://loripsum.net/"" target=""_blank"">Tum Torquatus: Prorsus, inquit, assentior;</a> Nullum inveniri verbum potest quod magis idem declaret Latine, quod Graece, quam declarat voluptas. </p>

"
2,"<h2>Erat enim Polemonis.</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Iam enim adesse poterit. Honesta oratio, Socratica, Platonis etiam. In quo etsi est magnus, tamen nova pleraque et perpauca de moribus. Duo Reges: constructio interrete. </p>

<h2>Quid de Pythagora?</h2>

<p>Quid ergo attinet dicere: Nihil haberem, quod reprehenderem, si finitas cupiditates haberent? Iam doloris medicamenta illa Epicurea tamquam de narthecio proment: Si gravis, brevis; Aliter enim nosmet ipsos nosse non possumus. Quae fere omnia appellantur uno ingenii nomine, easque virtutes qui habent, ingeniosi vocantur. At iam decimum annum in spelunca iacet. Et quidem saepe quaerimus verbum Latinum par Graeco et quod idem valeat; Quid de Platone aut de Democrito loquar? Quid enim ab antiquis ex eo genere, quod ad disserendum valet, praetermissum est? </p>

<h3>Videsne, ut haec concinant?</h3>

<p>Et harum quidem rerum facilis est et expedita distinctio. Quid est, quod ab ea absolvi et perfici debeat? Itaque homo in primis ingenuus et gravis, dignus illa familiaritate Scipionis et Laelii, Panaetius, cum ad Q. Age nunc isti doceant, vel tu potius quis enim ista melius? Unum est sine dolore esse, alterum cum voluptate. Vos autem cum perspicuis dubia debeatis illustrare, dubiis perspicua conamini tollere. Ut placet, inquit, etsi enim illud erat aptius, aequum cuique concedere. </p>

<p>At, si voluptas esset bonum, desideraret. Neque enim civitas in seditione beata esse potest nec in discordia dominorum domus; Quid, si etiam iucunda memoria est praeteritorum malorum? Nihil opus est exemplis hoc facere longius. <a href=""http://loripsum.net/"" target=""_blank"">Honesta oratio, Socratica, Platonis etiam.</a> <b>Hic nihil fuit, quod quaereremus.</b> Igitur neque stultorum quisquam beatus neque sapientium non beatus. Quamquam ab iis philosophiam et omnes ingenuas disciplinas habemus; </p>

<p>Bona autem corporis huic sunt, quod posterius posui, similiora. Atque his de rebus et splendida est eorum et illustris oratio. Nec enim, omnes avaritias si aeque avaritias esse dixerimus, sequetur ut etiam aequas esse dicamus. Ex rebus enim timiditas, non ex vocabulis nascitur. Sed ad haec, nisi molestum est, habeo quae velim. Quodsi vultum tibi, si incessum fingeres, quo gravior viderere, non esses tui similis; Qui autem de summo bono dissentit de tota philosophiae ratione dissentit. Peccata paria. Quas enim kakaw Graeci appellant, vitia malo quam malitias nominare. Parvi enim primo ortu sic iacent, tamquam omnino sine animo sint. </p>

"
3,"<h2>Quo studio Aristophanem putamus aetatem in litteris duxisse?</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Num igitur utiliorem tibi hunc Triarium putas esse posse, quam si tua sint Puteolis granaria? <mark>Neutrum vero, inquit ille.</mark> Illis videtur, qui illud non dubitant bonum dicere -; Erit enim instructus ad mortem contemnendam, ad exilium, ad ipsum etiam dolorem. <a href=""http://loripsum.net/"" target=""_blank"">Ratio quidem vestra sic cogit.</a> <b>Duo Reges: constructio interrete.</b> Illud non continuo, ut aeque incontentae. </p>

<p>Gloriosa ostentatio in constituendo summo bono. <mark>Sine ea igitur iucunde negat posse se vivere?</mark> Tu autem negas fortem esse quemquam posse, qui dolorem malum putet. Sin laboramus, quis est, qui alienae modum statuat industriae? Si alia sentit, inquam, alia loquitur, numquam intellegam quid sentiat; </p>

<p>Quare conare, quaeso. <i>Scrupulum, inquam, abeunti;</i> Quem si tenueris, non modo meum Ciceronem, sed etiam me ipsum abducas licebit. At quicum ioca seria, ut dicitur, quicum arcana, quicum occulta omnia? Videsne ut, quibus summa est in voluptate, perspicuum sit quid iis faciendum sit aut non faciendum? Immo videri fortasse. </p>

<p>An dolor longissimus quisque miserrimus, voluptatem non optabiliorem diuturnitas facit? Quid enim me prohiberet Epicureum esse, si probarem, quae ille diceret? Quasi vero, inquit, perpetua oratio rhetorum solum, non etiam philosophorum sit. <b>Contemnit enim disserendi elegantiam, confuse loquitur.</b> Quia nec honesto quic quam honestius nec turpi turpius. Ita multo sanguine profuso in laetitia et in victoria est mortuus. </p>

<p>Hoc etsi multimodis reprehendi potest, tamen accipio, quod dant. <b>Quae similitudo in genere etiam humano apparet.</b> Nonne videmus quanta perturbatio rerum omnium consequatur, quanta confusio? Quam nemo umquam voluptatem appellavit, appellat; Sequitur disserendi ratio cognitioque naturae; Quantum Aristoxeni ingenium consumptum videmus in musicis? Quae diligentissime contra Aristonem dicuntur a Chryippo. Conferam avum tuum Drusum cum C. <i>Addidisti ad extremum etiam indoctum fuisse.</i> </p>

"
4,"<h2>Hoc Hieronymus summum bonum esse dixit.</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Item de contrariis, a quibus ad genera formasque generum venerunt. Maximas vero virtutes iacere omnis necesse est voluptate dominante. Et hercule-fatendum est enim, quod sentio -mirabilis est apud illos contextus rerum. <mark>Velut ego nunc moveor.</mark> Duo Reges: constructio interrete. Nondum autem explanatum satis, erat, quid maxime natura vellet. Sed ille, ut dixi, vitiose. Cur igitur easdem res, inquam, Peripateticis dicentibus verbum nullum est, quod non intellegatur? Non elogia monimentorum id significant, velut hoc ad portam: Hunc unum plurimae consentiunt gentes populi primarium fuisse virum. </p>

<h4>Sed plane dicit quod intellegit.</h4>

<p>Quibusnam praeteritis? Idem fecisset Epicurus, si sententiam hanc, quae nunc Hieronymi est, coniunxisset cum Aristippi vetere sententia. <b>Torquatus, is qui consul cum Cn.</b> Hoc etsi multimodis reprehendi potest, tamen accipio, quod dant. <b>Igitur ne dolorem quidem.</b> Tum Quintus: Est plane, Piso, ut dicis, inquit. -, sed ut hoc iudicaremus, non esse in iis partem maximam positam beate aut secus vivendi. Nihil enim hoc differt. <b>Collige omnia, quae soletis: Praesidium amicorum.</b> </p>

<p>Negabat igitur ullam esse artem, quae ipsa a se proficisceretur; Sic enim censent, oportunitatis esse beate vivere. Est igitur officium eius generis, quod nec in bonis ponatur nec in contrariis. A quibus propter discendi cupiditatem videmus ultimas terras esse peragratas. ALIO MODO. Huius, Lyco, oratione locuples, rebus ipsis ielunior. Sequitur disserendi ratio cognitioque naturae; Cur id non ita fit? </p>

<h2>Urgent tamen et nihil remittunt.</h2>

<p><mark>Omnia peccata paria dicitis.</mark> Quamvis enim depravatae non sint, pravae tamen esse possunt. Prave, nequiter, turpiter cenabat; At ille pellit, qui permulcet sensum voluptate. At iam decimum annum in spelunca iacet. Universa enim illorum ratione cum tota vestra confligendum puto. Totum autem id externum est, et quod externum, id in casu est. </p>

<h3>Quoniam, si dis placet, ab Epicuro loqui discimus.</h3>

<p><a href=""http://loripsum.net/"" target=""_blank"">Suo genere perveniant ad extremum;</a> <i>Compensabatur, inquit, cum summis doloribus laetitia.</i> Quid iudicant sensus? <b>Quamquam tu hanc copiosiorem etiam soles dicere.</b> </p>

"
5,"<h2>Si alia sentit, inquam, alia loquitur, numquam intellegam quid sentiat;</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. <i>Non semper, inquam;</i> Restinguet citius, si ardentem acceperit. Ut in geometria, prima si dederis, danda sunt omnia. Cur igitur, cum de re conveniat, non malumus usitate loqui? An ea, quae per vinitorem antea consequebatur, per se ipsa curabit? Oculorum, inquit Plato, est in nobis sensus acerrimus, quibus sapientiam non cernimus. <b>Duo Reges: constructio interrete.</b> Graece donan, Latine voluptatem vocant. At miser, si in flagitiosa et vitiosa vita afflueret voluptatibus. Quae similitudo in genere etiam humano apparet. </p>

<p><i>Quam si explicavisset, non tam haesitaret.</i> Qui-vere falsone, quaerere mittimus-dicitur oculis se privasse; <i>Qua tu etiam inprudens utebare non numquam.</i> Et non ex maxima parte de tota iudicabis? Murenam te accusante defenderem. Aliter enim nosmet ipsos nosse non possumus. </p>

<p>Satisne vobis videor pro meo iure in vestris auribus commentatus? Cum audissem Antiochum, Brute, ut solebam, cum M. Illud dico, ea, quae dicat, praeclare inter se cohaerere. Beatus sibi videtur esse moriens. Consequentia exquirere, quoad sit id, quod volumus, effectum. <b>Non est igitur summum malum dolor.</b> Et quidem illud ipsum non nimium probo et tantum patior, philosophum loqui de cupiditatibus finiendis. Virtutibus igitur rectissime mihi videris et ad consuetudinem nostrae orationis vitia posuisse contraria. </p>

<h2>Dici enim nihil potest verius.</h2>

<p>Nam Pyrrho, Aristo, Erillus iam diu abiecti. Non enim quaero quid verum, sed quid cuique dicendum sit. <a href=""http://loripsum.net/"" target=""_blank"">Tenent mordicus.</a> Aliam vero vim voluptatis esse, aliam nihil dolendi, nisi valde pertinax fueris, concedas necesse est. Ita multo sanguine profuso in laetitia et in victoria est mortuus. An eum discere ea mavis, quae cum plane perdidiceriti nihil sciat? </p>

<p>Idem etiam dolorem saepe perpetiuntur, ne, si id non faciant, incidant in maiorem. Et hercule-fatendum est enim, quod sentio -mirabilis est apud illos contextus rerum. Quacumque enim ingredimur, in aliqua historia vestigium ponimus. Universa enim illorum ratione cum tota vestra confligendum puto. Nam et complectitur verbis, quod vult, et dicit plane, quod intellegam; <a href=""http://loripsum.net/"" target=""_blank"">Sin aliud quid voles, postea.</a> </p>

"
6,"<h2>Quod quidem nobis non saepe contingit.</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut in geometria, prima si dederis, danda sunt omnia. <i>Quae contraria sunt his, malane?</i> <b>Duo Reges: constructio interrete.</b> Egone non intellego, quid sit don Graece, Latine voluptas? Ex rebus enim timiditas, non ex vocabulis nascitur. Nam, ut sint illa vendibiliora, haec uberiora certe sunt. Res enim se praeclare habebat, et quidem in utraque parte. Illa videamus, quae a te de amicitia dicta sunt. </p>

<p>Tu autem negas fortem esse quemquam posse, qui dolorem malum putet. O magnam vim ingenii causamque iustam, cur nova existeret disciplina! Perge porro. Atqui haec patefactio quasi rerum opertarum, cum quid quidque sit aperitur, definitio est. <mark>Quod cum dixissent, ille contra.</mark> Sic enim censent, oportunitatis esse beate vivere. Tria genera bonorum; Nihil opus est exemplis hoc facere longius. Praeclarae mortes sunt imperatoriae; Apud imperitos tum illa dicta sunt, aliquid etiam coronae datum; Videamus animi partes, quarum est conspectus illustrior; Aeque enim contingit omnibus fidibus, ut incontentae sint. </p>

<p>Pauca mutat vel plura sane; Hoc enim constituto in philosophia constituta sunt omnia. Hoc dixerit potius Ennius: Nimium boni est, cui nihil est mali. <b>Esse enim quam vellet iniquus iustus poterat inpune.</b> Luxuriam non reprehendit, modo sit vacua infinita cupiditate et timore. <a href=""http://loripsum.net/"" target=""_blank"">Istam voluptatem, inquit, Epicurus ignorat?</a> </p>

<p>Quamquam id quidem, infinitum est in hac urbe; Ad corpus diceres pertinere-, sed ea, quae dixi, ad corpusne refers? Qui convenit? Hoc dixerit potius Ennius: Nimium boni est, cui nihil est mali. Eodem modo is enim tibi nemo dabit, quod, expetendum sit, id esse laudabile. </p>

<h2>Sed eum qui audiebant, quoad poterant, defendebant sententiam suam.</h2>

<p>Terram, mihi crede, ea lanx et maria deprimet. An eiusdem modi? At ille pellit, qui permulcet sensum voluptate. Et quod est munus, quod opus sapientiae? Ampulla enim sit necne sit, quis non iure optimo irrideatur, si laboret? <a href=""http://loripsum.net/"" target=""_blank"">Refert tamen, quo modo.</a> Sin autem est in ea, quod quidam volunt, nihil impedit hanc nostram comprehensionem summi boni. Ego quoque, inquit, didicerim libentius si quid attuleris, quam te reprehenderim. </p>

"
7,"<h2>Huius ego nunc auctoritatem sequens idem faciam.</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Solum praeterea formosum, solum liberum, solum civem, stultost; Duo Reges: constructio interrete. Neque solum ea communia, verum etiam paria esse dixerunt. <i>At multis malis affectus.</i> <i>Quae cum magnifice primo dici viderentur, considerata minus probabantur.</i> <a href=""http://loripsum.net/"" target=""_blank"">An haec ab eo non dicuntur?</a> </p>

<p>A primo, ut opinor, animantium ortu petitur origo summi boni. <a href=""http://loripsum.net/"" target=""_blank"">Ita prorsus, inquam;</a> Non modo carum sibi quemque, verum etiam vehementer carum esse? Familiares nostros, credo, Sironem dicis et Philodemum, cum optimos viros, tum homines doctissimos. Idemne potest esse dies saepius, qui semel fuit? Utilitatis causa amicitia est quaesita. </p>

<p><i>At enim hic etiam dolore.</i> <i>Itaque hic ipse iam pridem est reiectus;</i> <i>Restatis igitur vos;</i> Quae autem natura suae primae institutionis oblita est? Hoc ipsum elegantius poni meliusque potuit. Ergo illi intellegunt quid Epicurus dicat, ego non intellego? Non est igitur summum malum dolor. Antiquorum autem sententiam Antiochus noster mihi videtur persequi diligentissime, quam eandem Aristoteli fuisse et Polemonis docet. </p>

<p>Duarum enim vitarum nobis erunt instituta capienda. Quis enim est, qui non videat haec esse in natura rerum tria? Longum est enim ad omnia respondere, quae a te dicta sunt. Quasi ego id curem, quid ille aiat aut neget. <a href=""http://loripsum.net/"" target=""_blank"">Si id dicis, vicimus.</a> Verum tamen cum de rebus grandioribus dicas, ipsae res verba rapiunt; <a href=""http://loripsum.net/"" target=""_blank"">Illum mallem levares, quo optimum atque humanissimum virum, Cn.</a> Scrupulum, inquam, abeunti; Quem si tenueris, non modo meum Ciceronem, sed etiam me ipsum abducas licebit. </p>

<h2>Utilitatis causa amicitia est quaesita.</h2>

<p>Post enim Chrysippum eum non sane est disputatum. <mark>Cur tantas regiones barbarorum pedibus obiit, tot maria transmisit?</mark> Eiuro, inquit adridens, iniquum, hac quidem de re; <b>Occultum facinus esse potuerit, gaudebit;</b> <b>Numquam facies.</b> Ac tamen hic mallet non dolere. Iis igitur est difficilius satis facere, qui se Latina scripta dicunt contemnere. </p>

"
8,"<h2>Sed fortuna fortis;</h2><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quid est, quod ab ea absolvi et perfici debeat? Et quidem illud ipsum non nimium probo et tantum patior, philosophum loqui de cupiditatibus finiendis. Duo Reges: constructio interrete. <a href=""http://loripsum.net/"" target=""_blank"">Quis istud possit, inquit, negare?</a> <b>Hanc quoque iucunditatem, si vis, transfer in animum;</b> Pudebit te, inquam, illius tabulae, quam Cleanthes sane commode verbis depingere solebat. Quamvis enim depravatae non sint, pravae tamen esse possunt. Minime vero, inquit ille, consentit. </p>

<h3>Qui autem de summo bono dissentit de tota philosophiae ratione dissentit.</h3>

<p><b>Eadem nunc mea adversum te oratio est.</b> <b>Sequitur disserendi ratio cognitioque naturae;</b> Minime vero, inquit ille, consentit. Quid enim necesse est, tamquam meretricem in matronarum coetum, sic voluptatem in virtutum concilium adducere? <mark>Age, inquies, ista parva sunt.</mark> <a href=""http://loripsum.net/"" target=""_blank"">Sint ista Graecorum;</a> Tecum optime, deinde etiam cum mediocri amico. Obsecro, inquit, Torquate, haec dicit Epicurus? Quid enim necesse est, tamquam meretricem in matronarum coetum, sic voluptatem in virtutum concilium adducere? Recte dicis; Non enim iam stirpis bonum quaeret, sed animalis. Mihi enim satis est, ipsis non satis. Estne, quaeso, inquam, sitienti in bibendo voluptas? </p>

<p>Nunc haec primum fortasse audientis servire debemus. Quo modo autem optimum, si bonum praeterea nullum est? Cur igitur, inquam, res tam dissimiles eodem nomine appellas? Et quidem, inquit, vehementer errat; Iam in altera philosophiae parte. </p>

<h2>An hoc usque quaque, aliter in vita?</h2>

<p>Quid igitur dubitamus in tota eius natura quaerere quid sit effectum? Tibi hoc incredibile, quod beatissimum. <mark>Utilitatis causa amicitia est quaesita.</mark> Itaque rursus eadem ratione, qua sum paulo ante usus, haerebitis. Illud quaero, quid ei, qui in voluptate summum bonum ponat, consentaneum sit dicere. Utrum igitur tibi litteram videor an totas paginas commovere? </p>

<p><a href=""http://loripsum.net/"" target=""_blank"">An tu me de L.</a> Hoc etsi multimodis reprehendi potest, tamen accipio, quod dant. Nam si amitti vita beata potest, beata esse non potest. Quae cum praeponunt, ut sit aliqua rerum selectio, naturam videntur sequi; Sed haec ab Antiocho, familiari nostro, dicuntur multo melius et fortius, quam a Stasea dicebantur. <a href=""http://loripsum.net/"" target=""_blank"">Satis est ad hoc responsum.</a> </p>

"
9,"<h2>Gloriosa ostentatio in constituendo summo bono.</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed ad rem redeamus; Que Manilium, ab iisque M. Saepe ab Aristotele, a Theophrasto mirabiliter est laudata per se ipsa rerum scientia; Ita multo sanguine profuso in laetitia et in victoria est mortuus. </p>

<h2>Praeclare hoc quidem.</h2>

<p>Consequens enim est et post oritur, ut dixi. Duo Reges: constructio interrete. Non quam nostram quidem, inquit Pomponius iocans; Habent enim et bene longam et satis litigiosam disputationem. Tum Piso: Atqui, Cicero, inquit, ista studia, si ad imitandos summos viros spectant, ingeniosorum sunt; </p>

<p>Ab hoc autem quaedam non melius quam veteres, quaedam omnino relicta. Sed ad bona praeterita redeamus. Avaritiamne minuis? Parvi enim primo ortu sic iacent, tamquam omnino sine animo sint. Septem autem illi non suo, sed populorum suffragio omnium nominati sunt. Vitae autem degendae ratio maxime quidem illis placuit quieta. <i>Et quidem, inquit, vehementer errat;</i> <mark>Illa tamen simplicia, vestra versuta.</mark> Quasi vero, inquit, perpetua oratio rhetorum solum, non etiam philosophorum sit. </p>

<p>Qua tu etiam inprudens utebare non numquam. Tantum dico, magis fuisse vestrum agere Epicuri diem natalem, quam illius testamento cavere ut ageretur. Quid est igitur, cur ita semper deum appellet Epicurus beatum et aeternum? <b>Idemne, quod iucunde?</b> Quid enim ab antiquis ex eo genere, quod ad disserendum valet, praetermissum est? Nam si propter voluptatem, quae est ista laus, quae possit e macello peti? </p>

<p><b>Duarum enim vitarum nobis erunt instituta capienda.</b> Quae cum dixisset paulumque institisset, Quid est? <i>Terram, mihi crede, ea lanx et maria deprimet.</i> <i>Animum autem reliquis rebus ita perfecit, ut corpus;</i> Ex quo, id quod omnes expetunt, beate vivendi ratio inveniri et comparari potest. <a href=""http://loripsum.net/"" target=""_blank"">Iubet igitur nos Pythius Apollo noscere nosmet ipsos.</a> </p>

"
10,"<h2>Paulum, cum regem Persem captum adduceret, eodem flumine invectio?</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. <mark>Urgent tamen et nihil remittunt.</mark> <i>Duo Reges: constructio interrete.</i> Illud dico, ea, quae dicat, praeclare inter se cohaerere. Quodsi ipsam honestatem undique pertectam atque absolutam. <a href=""http://loripsum.net/"" target=""_blank"">Omnia contraria, quos etiam insanos esse vultis.</a> Satis est tibi in te, satis in legibus, satis in mediocribus amicitiis praesidii. Tenesne igitur, inquam, Hieronymus Rhodius quid dicat esse summum bonum, quo putet omnia referri oportere? </p>

<p>Sed quae tandem ista ratio est? Non potes, nisi retexueris illa. Facit enim ille duo seiuncta ultima bonorum, quae ut essent vera, coniungi debuerunt; Zenonis est, inquam, hoc Stoici. Quia dolori non voluptas contraria est, sed doloris privatio. Nos paucis ad haec additis finem faciamus aliquando; Sed quod proximum fuit non vidit. Sed haec nihil sane ad rem; </p>

<h2>Vide ne ista sint Manliana vestra aut maiora etiam, si imperes quod facere non possim.</h2>

<p>Sed ad haec, nisi molestum est, habeo quae velim. In motu et in statu corporis nihil inest, quod animadvertendum esse ipsa natura iudicet? Negabat igitur ullam esse artem, quae ipsa a se proficisceretur; Qualem igitur hominem natura inchoavit? Avaritiamne minuis? </p>

<p>Ego quoque, inquit, didicerim libentius si quid attuleris, quam te reprehenderim. De ingenio eius in his disputationibus, non de moribus quaeritur. Ita nemo beato beatior. <i>Quod iam a me expectare noli.</i> Similiter sensus, cum accessit ad naturam, tuetur illam quidem, sed etiam se tuetur; Conferam avum tuum Drusum cum C. </p>

<p>Sic enim censent, oportunitatis esse beate vivere. Ex quo illud efficitur, qui bene cenent omnis libenter cenare, qui libenter, non continuo bene. Scio enim esse quosdam, qui quavis lingua philosophari possint; Sed tu istuc dixti bene Latine, parum plane. </p>

"
