id,field_p_text
1,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quodcumque in mentem incideret, et quodcumque tamquam occurreret. Ego vero isti, inquam, permitto. <b>Sed plane dicit quod intellegit.</b> Fieri, inquam, Triari, nullo pacto potest, ut non dicas, quid non probes eius, a quo dissentias. Cur fortior sit, si illud, quod tute concedis, asperum et vix ferendum putabit? <b>Quodsi ipsam honestatem undique pertectam atque absolutam.</b> Si longus, levis dictata sunt. Duo Reges: constructio interrete. </p>

<p>Hoc loco tenere se Triarius non potuit. <mark>Quid iudicant sensus?</mark> Quid ergo aliud intellegetur nisi uti ne quae pars naturae neglegatur? Cur igitur, inquam, res tam dissimiles eodem nomine appellas? <mark>Istam voluptatem, inquit, Epicurus ignorat?</mark> Si mala non sunt, iacet omnis ratio Peripateticorum. </p>

<p>Verba tu fingas et ea dicas, quae non sentias? Hi curatione adhibita levantur in dies, valet alter plus cotidie, alter videt. Hoc loco tenere se Triarius non potuit. Atqui haec patefactio quasi rerum opertarum, cum quid quidque sit aperitur, definitio est. Hic ambiguo ludimur. Ex eorum enim scriptis et institutis cum omnis doctrina liberalis, omnis historia. </p>

"
2,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nihil minus, contraque illa hereditate dives ob eamque rem laetus. Qua tu etiam inprudens utebare non numquam. Ea, quae dialectici nunc tradunt et docent, nonne ab illis instituta sunt aut inventa sunt? Illud quaero, quid ei, qui in voluptate summum bonum ponat, consentaneum sit dicere. Urgent tamen et nihil remittunt. Duo Reges: constructio interrete. At multis se probavit. </p>

<p>Ergo illi intellegunt quid Epicurus dicat, ego non intellego? Quid loquor de nobis, qui ad laudem et ad decus nati, suscepti, instituti sumus? <a href=""http://loripsum.net/"" target=""_blank"">Quare conare, quaeso.</a> Apud ceteros autem philosophos, qui quaesivit aliquid, tacet; Qui bonum omne in virtute ponit, is potest dicere perfici beatam vitam perfectione virtutis; Sed tamen est aliquid, quod nobis non liceat, liceat illis. <b>Non risu potius quam oratione eiciendum?</b> Est enim effectrix multarum et magnarum voluptatum. Sic consequentibus vestris sublatis prima tolluntur. Cur tantas regiones barbarorum pedibus obiit, tot maria transmisit? Sin tantum modo ad indicia veteris memoriae cognoscenda, curiosorum. Qua tu etiam inprudens utebare non numquam. </p>

<p>Dic in quovis conventu te omnia facere, ne doleas. Mihi enim erit isdem istis fortasse iam utendum. Ergo instituto veterum, quo etiam Stoici utuntur, hinc capiamus exordium. Quod iam a me expectare noli. </p>

"
3,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. <i>Id mihi magnum videtur.</i> <i>Tuo vero id quidem, inquam, arbitratu.</i> <a href=""http://loripsum.net/"" target=""_blank"">Nescio quo modo praetervolavit oratio.</a> Illa videamus, quae a te de amicitia dicta sunt. Sit hoc ultimum bonorum, quod nunc a me defenditur; <a href=""http://loripsum.net/"" target=""_blank"">Duo Reges: constructio interrete.</a> <a href=""http://loripsum.net/"" target=""_blank"">Primum quid tu dicis breve?</a> An eum discere ea mavis, quae cum plane perdidiceriti nihil sciat? </p>

<p>Dicam, inquam, et quidem discendi causa magis, quam quo te aut Epicurum reprehensum velim. Non quaero, quid dicat, sed quid convenienter possit rationi et sententiae suae dicere. <mark>Inde igitur, inquit, ordiendum est.</mark> <a href=""http://loripsum.net/"" target=""_blank"">Quid censes in Latino fore?</a> <b>Quid adiuvas?</b> Vide, ne etiam menses! nisi forte eum dicis, qui, simul atque arripuit, interficit. </p>

<p>Quae tamen a te agetur non melior, quam illae sunt, quas interdum optines. Dicimus aliquem hilare vivere; Inde sermone vario sex illa a Dipylo stadia confecimus. <a href=""http://loripsum.net/"" target=""_blank"">Polycratem Samium felicem appellabant.</a> Videsne ut, quibus summa est in voluptate, perspicuum sit quid iis faciendum sit aut non faciendum? <b>Mihi, inquam, qui te id ipsum rogavi?</b> </p>

"
4,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Non minor, inquit, voluptas percipitur ex vilissimis rebus quam ex pretiosissimis. Sed tu istuc dixti bene Latine, parum plane. <i>Maximus dolor, inquit, brevis est.</i> <a href=""http://loripsum.net/"" target=""_blank"">Confecta res esset.</a> </p>

<p>Roges enim Aristonem, bonane ei videantur haec: vacuitas doloris, divitiae, valitudo; Voluptatem cum summum bonum diceret, primum in eo ipso parum vidit, deinde hoc quoque alienum; Quia nec honesto quic quam honestius nec turpi turpius. Sin dicit obscurari quaedam nec apparere, quia valde parva sint, nos quoque concedimus; Nulla profecto est, quin suam vim retineat a primo ad extremum. Huius ego nunc auctoritatem sequens idem faciam. Quae cum magnifice primo dici viderentur, considerata minus probabantur. Sed tamen omne, quod de re bona dilucide dicitur, mihi praeclare dici videtur. Nobis aliter videtur, recte secusne, postea; </p>

<p><i>Duo Reges: constructio interrete.</i> Profectus in exilium Tubulus statim nec respondere ausus; Tanta vis admonitionis inest in locis; Qui autem esse poteris, nisi te amor ipse ceperit? Hoc mihi cum tuo fratre convenit. Quo studio Aristophanem putamus aetatem in litteris duxisse? Quid enim necesse est, tamquam meretricem in matronarum coetum, sic voluptatem in virtutum concilium adducere? Superiores tres erant, quae esse possent, quarum est una sola defensa, eaque vehementer. </p>

"
5,"<h2>Tum Triarius: Posthac quidem, inquit, audacius.</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. <i>Nonne igitur tibi videntur, inquit, mala?</i> Sed ad haec, nisi molestum est, habeo quae velim. Verum tamen cum de rebus grandioribus dicas, ipsae res verba rapiunt; <b>Quis istum dolorem timet?</b> Universa enim illorum ratione cum tota vestra confligendum puto. Duo Reges: constructio interrete. <mark>Quae cum dixisset, finem ille.</mark> Nihil est enim, de quo aliter tu sentias atque ego, modo commutatis verbis ipsas res conferamus. </p>

<p>Duarum enim vitarum nobis erunt instituta capienda. Scio enim esse quosdam, qui quavis lingua philosophari possint; Quo modo autem optimum, si bonum praeterea nullum est? <i>Bonum patria: miserum exilium.</i> <a href=""http://loripsum.net/"" target=""_blank"">Ego vero isti, inquam, permitto.</a> Quos quidem tibi studiose et diligenter tractandos magnopere censeo. </p>

<p>Quid iudicant sensus? Equidem e Cn. <a href=""http://loripsum.net/"" target=""_blank"">Traditur, inquit, ab Epicuro ratio neglegendi doloris.</a> Quae autem natura suae primae institutionis oblita est? In quo etsi est magnus, tamen nova pleraque et perpauca de moribus. Non quaero, quid dicat, sed quid convenienter possit rationi et sententiae suae dicere. Illi enim inter se dissentiunt. Ab his oratores, ab his imperatores ac rerum publicarum principes extiterunt. Nec vero alia sunt quaerenda contra Carneadeam illam sententiam. Non autem hoc: igitur ne illud quidem. </p>

<h2>Inde sermone vario sex illa a Dipylo stadia confecimus.</h2>

<p><b>Tubulo putas dicere?</b> Quis hoc dicit? <b>Cur iustitia laudatur?</b> Atqui reperies, inquit, in hoc quidem pertinacem; </p>

"
6,"<h2>Zenonis est, inquam, hoc Stoici.</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. <b>Cui Tubuli nomen odio non est?</b> Duo Reges: constructio interrete. In qua quid est boni praeter summam voluptatem, et eam sempiternam? <b>Omnia contraria, quos etiam insanos esse vultis.</b> Non quam nostram quidem, inquit Pomponius iocans; Nam Metrodorum non puto ipsum professum, sed, cum appellaretur ab Epicuro, repudiare tantum beneficium noluisse; </p>

<p>At, si voluptas esset bonum, desideraret. Itaque e contrario moderati aequabilesque habitus, affectiones ususque corporis apti esse ad naturam videntur. Cenasti in vita numquam bene, cum omnia in ista Consumis squilla atque acupensere cum decimano. Nunc haec primum fortasse audientis servire debemus. Morbo gravissimo affectus, exul, orbus, egens, torqueatur eculeo: quem hunc appellas, Zeno? <b>Non est ista, inquam, Piso, magna dissensio.</b> <mark>Ratio quidem vestra sic cogit.</mark> Sedulo, inquam, faciam. </p>

<p>At negat Epicurus-hoc enim vestrum lumen estquemquam, qui honeste non vivat, iucunde posse vivere. Quod mihi quidem visus est, cum sciret, velle tamen confitentem audire Torquatum. Ait enim se, si uratur, Quam hoc suave! dicturum. Quae cum dixisset paulumque institisset, Quid est? Maximas vero virtutes iacere omnis necesse est voluptate dominante. Quod cum accidisset ut alter alterum necopinato videremus, surrexit statim. Ad eas enim res ab Epicuro praecepta dantur. Quid ergo hoc loco intellegit honestum? <b>Mihi, inquam, qui te id ipsum rogavi?</b> Nam prius a se poterit quisque discedere quam appetitum earum rerum, quae sibi conducant, amittere. </p>

<h2>Si quidem, inquit, tollerem, sed relinquo.</h2>

<p>Quid sequatur, quid repugnet, vident. Ostendit pedes et pectus. Ut non sine causa ex iis memoriae ducta sit disciplina. Cur post Tarentum ad Archytam? <i>Respondeat totidem verbis.</i> Verba tu fingas et ea dicas, quae non sentias? Nondum autem explanatum satis, erat, quid maxime natura vellet. Sed quid attinet de rebus tam apertis plura requirere? Sed in rebus apertissimis nimium longi sumus. <b>Obsecro, inquit, Torquate, haec dicit Epicurus?</b> </p>

"
7,"<h2>Tubulum fuisse, qua illum, cuius is condemnatus est rogatione, P.</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aut, Pylades cum sis, dices te esse Orestem, ut moriare pro amico? <b>Iam contemni non poteris.</b> Eaedem enim utilitates poterunt eas labefactare atque pervertere. Duo Reges: constructio interrete. </p>

<p><i>Frater et T.</i> <b>Sed quod proximum fuit non vidit.</b> <a href=""http://loripsum.net/"" target=""_blank"">Haec dicuntur inconstantissime.</a> Honesta oratio, Socratica, Platonis etiam. Potius inflammat, ut coercendi magis quam dedocendi esse videantur. Tu enim ista lenius, hic Stoicorum more nos vexat. </p>

<h3>Recte, inquit, intellegis.</h3>

<p>Sapiens autem semper beatus est et est aliquando in dolore; Illum mallem levares, quo optimum atque humanissimum virum, Cn. Est autem etiam actio quaedam corporis, quae motus et status naturae congruentis tenet; Septem autem illi non suo, sed populorum suffragio omnium nominati sunt. Illa argumenta propria videamus, cur omnia sint paria peccata. </p>

<h2>An hoc usque quaque, aliter in vita?</h2>

<p>Luxuriam non reprehendit, modo sit vacua infinita cupiditate et timore. Bonum liberi: misera orbitas. Quando enim Socrates, qui parens philosophiae iure dici potest, quicquam tale fecit? Nihil opus est exemplis hoc facere longius. </p>

"
8,"<h2>Huius, Lyco, oratione locuples, rebus ipsis ielunior.</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Expectoque quid ad id, quod quaerebam, respondeas. <mark>At certe gravius.</mark> <a href=""http://loripsum.net/"" target=""_blank"">Iam in altera philosophiae parte.</a> Quare attende, quaeso. Quicquid porro animo cernimus, id omne oritur a sensibus; Duo Reges: constructio interrete. <i>Dat enim intervalla et relaxat.</i> Cur iustitia laudatur? Quae autem natura suae primae institutionis oblita est? Maximus dolor, inquit, brevis est. </p>

<p>Etsi qui potest intellegi aut cogitari esse aliquod animal, quod se oderit? Si qua in iis corrigere voluit, deteriora fecit. <a href=""http://loripsum.net/"" target=""_blank"">Immo alio genere;</a> <i>Qui ita affectus, beatum esse numquam probabis;</i> </p>

<p><b>Primum divisit ineleganter;</b> De quibus cupio scire quid sentias. </p>

<h2>Qui-vere falsone, quaerere mittimus-dicitur oculis se privasse;</h2>

<p>An vero, inquit, quisquam potest probare, quod perceptfum, quod. Ego vero isti, inquam, permitto. Etenim semper illud extra est, quod arte comprehenditur. Vulgo enim dicitur: Iucundi acti labores, nec male Euripidesconcludam, si potero, Latine; Tu vero, inquam, ducas licet, si sequetur; Odium autem et invidiam facile vitabis. Teneo, inquit, finem illi videri nihil dolere. <b>Qui est in parvis malis.</b> Faceres tu quidem, Torquate, haec omnia; Quis non odit sordidos, vanos, leves, futtiles? </p>

"
9,"<h2>Tu enim ista lenius, hic Stoicorum more nos vexat.</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Non laboro, inquit, de nomine. Omnia contraria, quos etiam insanos esse vultis. Tubulo putas dicere? <a href=""http://loripsum.net/"" target=""_blank"">Eadem fortitudinis ratio reperietur.</a> Atque hoc loco similitudines eas, quibus illi uti solent, dissimillimas proferebas. Duo Reges: constructio interrete. Scientiam pollicentur, quam non erat mirum sapientiae cupido patria esse cariorem. Multoque hoc melius nos veriusque quam Stoici. </p>

<h3>Ille incendat?</h3>

<p>Idemque diviserunt naturam hominis in animum et corpus. Cave putes quicquam esse verius. Ergo in gubernando nihil, in officio plurimum interest, quo in genere peccetur. Nummus in Croesi divitiis obscuratur, pars est tamen divitiarum. Quis est tam dissimile homini. Ergo illi intellegunt quid Epicurus dicat, ego non intellego? <b>Quod iam a me expectare noli.</b> Equidem etiam Epicurum, in physicis quidem, Democriteum puto. </p>

<p>An tu me de L. <a href=""http://loripsum.net/"" target=""_blank"">At hoc in eo M.</a> <b>Sed videbimus.</b> <i>Tenent mordicus.</i> De malis autem et bonis ab iis animalibus, quae nondum depravata sint, ait optime iudicari. Quae cum praeponunt, ut sit aliqua rerum selectio, naturam videntur sequi; Dolor ergo, id est summum malum, metuetur semper, etiamsi non aderit; </p>

<h2>Quamquam tu hanc copiosiorem etiam soles dicere.</h2>

<p>Unum nescio, quo modo possit, si luxuriosus sit, finitas cupiditates habere. Equidem, sed audistine modo de Carneade? Hoc est non modo cor non habere, sed ne palatum quidem. Quamquam ab iis philosophiam et omnes ingenuas disciplinas habemus; Quid igitur dubitamus in tota eius natura quaerere quid sit effectum? <a href=""http://loripsum.net/"" target=""_blank"">Ego vero isti, inquam, permitto.</a> <a href=""http://loripsum.net/"" target=""_blank"">Mihi enim satis est, ipsis non satis.</a> </p>

"
10,"<h2>Ait enim se, si uratur, Quam hoc suave! dicturum.</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. <a href=""http://loripsum.net/"" target=""_blank"">Poterat autem inpune;</a> Laboro autem non sine causa; <a href=""http://loripsum.net/"" target=""_blank"">Est, ut dicis, inquit;</a> Duo Reges: constructio interrete. Quid est igitur, inquit, quod requiras? Istam voluptatem perpetuam quis potest praestare sapienti? Haec dicuntur inconstantissime. </p>

<h3>Primum divisit ineleganter;</h3>

<p>Ad eos igitur converte te, quaeso. Negare non possum. Sed ad rem redeamus; <mark>Sed quot homines, tot sententiae;</mark> </p>

<p>Quae diligentissime contra Aristonem dicuntur a Chryippo. Sed residamus, inquit, si placet. Nunc omni virtuti vitium contrario nomine opponitur. Maximus dolor, inquit, brevis est. </p>

<h2>Nobis Heracleotes ille Dionysius flagitiose descivisse videtur a Stoicis propter oculorum dolorem.</h2>

<p><a href=""http://loripsum.net/"" target=""_blank"">Teneo, inquit, finem illi videri nihil dolere.</a> At enim sequor utilitatem. Haec para/doca illi, nos admirabilia dicamus. Et quidem, inquit, vehementer errat; Quid autem habent admirationis, cum prope accesseris? </p>

<p>Pollicetur certe. Reguli reiciendam; Dici enim nihil potest verius. Illa tamen simplicia, vestra versuta. </p>

<p>Quippe: habes enim a rhetoribus; Sint ista Graecorum; <a href=""http://loripsum.net/"" target=""_blank"">Cyrenaici quidem non recusant;</a> Age, inquies, ista parva sunt. <i>An haec ab eo non dicuntur?</i> Reguli reiciendam; </p>

<p>Cui Tubuli nomen odio non est? Tum Torquatus: Prorsus, inquit, assentior; Dici enim nihil potest verius. Cave putes quicquam esse verius. </p>

<p>Etenim semper illud extra est, quod arte comprehenditur. Quamquam id quidem licebit iis existimare, qui legerint. Stoicos roga. Primum divisit ineleganter; Honesta oratio, Socratica, Platonis etiam. Tum Triarius: Posthac quidem, inquit, audacius. </p>

"
