id,field_p_text
1,"Quae contraria sunt his, malane? Graece donan, Latine voluptatem vocant. Et non ex maxima parte de tota iudicabis?

"
2,"<h2>Qui autem de summo bono dissentit de tota philosophiae ratione dissentit.</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Esse enim quam vellet iniquus iustus poterat inpune. <b>Aliter enim explicari, quod quaeritur, non potest.</b> Hos contra singulos dici est melius. Quis Aristidem non mortuum diligit? <b>Cur id non ita fit?</b> </p>

<h2>Itaque rursus eadem ratione, qua sum paulo ante usus, haerebitis.</h2>

<p>A mene tu? Quae hic rei publicae vulnera inponebat, eadem ille sanabat. <i>ALIO MODO.</i> Ita relinquet duas, de quibus etiam atque etiam consideret. Summum ením bonum exposuit vacuitatem doloris; Nulla erit controversia. Graece donan, Latine voluptatem vocant. </p>

<p>Igitur neque stultorum quisquam beatus neque sapientium non beatus. Quis Aristidem non mortuum diligit? <a href=""http://loripsum.net/"" target=""_blank"">Indicant pueri, in quibus ut in speculis natura cernitur.</a> <i>Respondent extrema primis, media utrisque, omnia omnibus.</i> </p>

<p><a href=""http://loripsum.net/"" target=""_blank"">Respondeat totidem verbis.</a> Quis est tam dissimile homini. </p>

<p>Quod equidem non reprehendo; Prioris generis est docilitas, memoria; Ego vero isti, inquam, permitto. <a href=""http://loripsum.net/"" target=""_blank"">Eam tum adesse, cum dolor omnis absit;</a> <i>De illis, cum volemus.</i> Cur deinde Metrodori liberos commendas? </p>

<p>Obsecro, inquit, Torquate, haec dicit Epicurus? Duo Reges: constructio interrete. Quae similitudo in genere etiam humano apparet. Non est igitur summum malum dolor. Diodorus, eius auditor, adiungit ad honestatem vacuitatem doloris. Iam contemni non poteris. </p>

<p><a href=""http://loripsum.net/"" target=""_blank"">Sint ista Graecorum;</a> <i>Nihil enim hoc differt.</i> Nihilo beatiorem esse Metellum quam Regulum. Quamquam id quidem licebit iis existimare, qui legerint. </p>

<p>Eam stabilem appellas. Non laboro, inquit, de nomine. Frater et T. <b>Videmus igitur ut conquiescere ne infantes quidem possint.</b> Nullus est igitur cuiusquam dies natalis. Quantum Aristoxeni ingenium consumptum videmus in musicis? </p>

"
3,"<h2>At iam decimum annum in spelunca iacet.</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed plane dicit quod intellegit. Si longus, levis; Murenam te accusante defenderem. <i>Duo Reges: constructio interrete.</i> </p>

<p>Beatus sibi videtur esse moriens. Omnia contraria, quos etiam insanos esse vultis. </p>

<p>Satis est ad hoc responsum. Urgent tamen et nihil remittunt. <a href=""http://loripsum.net/"" target=""_blank"">Qua tu etiam inprudens utebare non numquam.</a> Immo alio genere; Quid est igitur, inquit, quod requiras? <mark>Videsne, ut haec concinant?</mark> </p>

<p>Primum in nostrane potestate est, quid meminerimus? Quae duo sunt, unum facit. Illi enim inter se dissentiunt. <b>Refert tamen, quo modo.</b> Nunc vides, quid faciat. Duo enim genera quae erant, fecit tria. </p>

<p>Quamquam tu hanc copiosiorem etiam soles dicere. <a href=""http://loripsum.net/"" target=""_blank"">Consequens enim est et post oritur, ut dixi.</a> Urgent tamen et nihil remittunt. Quod totum contra est. <b>Gloriosa ostentatio in constituendo summo bono.</b> Frater et T. </p>

<p>Conferam avum tuum Drusum cum C. Apparet statim, quae sint officia, quae actiones. Quacumque enim ingredimur, in aliqua historia vestigium ponimus. Contineo me ab exemplis. Quo modo autem philosophus loquitur? Si enim ad populum me vocas, eum. </p>

<p>Quae contraria sunt his, malane? Bonum incolumis acies: misera caecitas. <a href=""http://loripsum.net/"" target=""_blank"">At iam decimum annum in spelunca iacet.</a> <i>Quod vestri non item.</i> Frater et T. Quid me istud rogas? </p>

<p>Nescio quo modo praetervolavit oratio. Beatus sibi videtur esse moriens. Bestiarum vero nullum iudicium puto. Itaque contra est, ac dicitis; <i>Polycratem Samium felicem appellabant.</i> Nos paucis ad haec additis finem faciamus aliquando; </p>

"
4,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut id aliis narrare gestiant? Nunc vides, quid faciat. Si longus, levis; Duo Reges: constructio interrete. <b>Hunc vos beatum;</b> Sint ista Graecorum; Quicquid porro animo cernimus, id omne oritur a sensibus; </p>

<p><i>Quonam, inquit, modo?</i> <mark>Vide, quaeso, rectumne sit.</mark> Negare non possum. Erat enim Polemonis. Is es profecto tu. </p>

<p>Et quidem, inquit, vehementer errat; Nam Pyrrho, Aristo, Erillus iam diu abiecti. Cur iustitia laudatur? Quod ea non occurrentia fingunt, vincunt Aristonem; Nunc omni virtuti vitium contrario nomine opponitur. </p>

<p>Nihil ad rem! Ne sit sane; Non semper, inquam; Istam voluptatem, inquit, Epicurus ignorat? Et quod est munus, quod opus sapientiae? <i>Quae cum dixisset, finem ille.</i> Est enim effectrix multarum et magnarum voluptatum. </p>

<p><a href=""http://loripsum.net/"" target=""_blank"">Quarum ambarum rerum cum medicinam pollicetur, luxuriae licentiam pollicetur.</a> Tu vero, inquam, ducas licet, si sequetur; Obsecro, inquit, Torquate, haec dicit Epicurus? <mark>Nulla erit controversia.</mark> Quorum altera prosunt, nocent altera. </p>

<p>Eam tum adesse, cum dolor omnis absit; <a href=""http://loripsum.net/"" target=""_blank"">Hoc loco tenere se Triarius non potuit.</a> Sed ad illum redeo. </p>

<p>Quarum ambarum rerum cum medicinam pollicetur, luxuriae licentiam pollicetur. Eademne, quae restincta siti? Quae similitudo in genere etiam humano apparet. Recte, inquit, intellegis. Sed virtutem ipsam inchoavit, nihil amplius. </p>

<p>Quarum ambarum rerum cum medicinam pollicetur, luxuriae licentiam pollicetur. Quam si explicavisset, non tam haesitaret. Quae cum essent dicta, discessimus. At, si voluptas esset bonum, desideraret. <b>At iam decimum annum in spelunca iacet.</b> Si longus, levis. </p>

"
5,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. <a href=""http://loripsum.net/"" target=""_blank"">Quod autem principium officii quaerunt, melius quam Pyrrho;</a> Maximus dolor, inquit, brevis est. Sin laboramus, quis est, qui alienae modum statuat industriae? Perge porro; Duo Reges: constructio interrete. Id est enim, de quo quaerimus. Nihil ad rem! Ne sit sane; </p>

<p>Quae cum dixisset paulumque institisset, Quid est? Quae est igitur causa istarum angustiarum? Aperiendum est igitur, quid sit voluptas; Qui ita affectus, beatum esse numquam probabis; At certe gravius. </p>

<p>Si longus, levis. Nam ista vestra: Si gravis, brevis; Quid me istud rogas? Quae duo sunt, unum facit. </p>

<p>Inde igitur, inquit, ordiendum est. <i>Sed in rebus apertissimis nimium longi sumus.</i> Deprehensus omnem poenam contemnet. Quaerimus enim finem bonorum. Illud dico, ea, quae dicat, praeclare inter se cohaerere. <b>At iam decimum annum in spelunca iacet.</b> </p>

<p>Omnis enim est natura diligens sui. Quis istud possit, inquit, negare? Rationis enim perfectio est virtus; Sit sane ista voluptas. Pugnant Stoici cum Peripateticis. Quare conare, quaeso. </p>

<p>Quae diligentissime contra Aristonem dicuntur a Chryippo. Quippe: habes enim a rhetoribus; Quid iudicant sensus? <a href=""http://loripsum.net/"" target=""_blank"">Memini vero, inquam;</a> </p>

<p>Scio enim esse quosdam, qui quavis lingua philosophari possint; Sed tu istuc dixti bene Latine, parum plane. Quis est, qui non oderit libidinosam, protervam adolescentiam? Sin aliud quid voles, postea. Avaritiamne minuis? Quia dolori non voluptas contraria est, sed doloris privatio. Graece donan, Latine voluptatem vocant. </p>

<p>Itaque sensibus rationem adiunxit et ratione effecta sensus non reliquit. Ergo ita: non posse honeste vivi, nisi honeste vivatur? An nisi populari fama? Eiuro, inquit adridens, iniquum, hac quidem de re; </p>

"
6,"<h2>Cupit enim dícere nihil posse ad beatam vitam deesse sapienti.</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Minime vero, inquit ille, consentit. Idem iste, inquam, de voluptate quid sentit? Non laboro, inquit, de nomine. Vide, quantum, inquam, fallare, Torquate. Suo genere perveniant ad extremum; Aliter enim explicari, quod quaeritur, non potest. Duo Reges: constructio interrete. </p>

<p>Id mihi magnum videtur. Respondent extrema primis, media utrisque, omnia omnibus. <i>Mihi enim satis est, ipsis non satis.</i> Quid ergo hoc loco intellegit honestum? </p>

<p>Quid me istud rogas? Non est igitur voluptas bonum. At coluit ipse amicitias. <i>Quis Aristidem non mortuum diligit?</i> </p>

<p><b>Ecce aliud simile dissimile.</b> Aperiendum est igitur, quid sit voluptas; Quae diligentissime contra Aristonem dicuntur a Chryippo. Refert tamen, quo modo. <b>Quid sequatur, quid repugnet, vident.</b> Sed tamen intellego quid velit. </p>

<h2>Quam tu ponis in verbis, ego positam in re putabam.</h2>

<p><b>Gerendus est mos, modo recte sentiat.</b> Primum Theophrasti, Strato, physicum se voluit; Sed mehercule pergrata mihi oratio tua. Tum mihi Piso: Quid ergo? Non quam nostram quidem, inquit Pomponius iocans; <a href=""http://loripsum.net/"" target=""_blank"">Cur id non ita fit?</a> </p>

<h3>Minime vero, inquit ille, consentit.</h3>

<p>Cur haec eadem Democritus? Sed videbimus. Si longus, levis; Sequitur disserendi ratio cognitioque naturae; Facete M. Confecta res esset. </p>

<p>Quid sequatur, quid repugnet, vident. Sed ad bona praeterita redeamus. Itaque his sapiens semper vacabit. Nunc omni virtuti vitium contrario nomine opponitur. </p>

<p><a href=""http://loripsum.net/"" target=""_blank"">Fortemne possumus dicere eundem illum Torquatum?</a> Quid de Platone aut de Democrito loquar? Nam Pyrrho, Aristo, Erillus iam diu abiecti. Nunc vides, quid faciat. Quid de Platone aut de Democrito loquar? <i>Quid sequatur, quid repugnet, vident.</i> </p>

"
7,"<h2>Quae similitudo in genere etiam humano apparet.</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suo genere perveniant ad extremum; <a href=""http://loripsum.net/"" target=""_blank"">An potest cupiditas finiri?</a> <a href=""http://loripsum.net/"" target=""_blank"">Iam id ipsum absurdum, maximum malum neglegi.</a> Bonum incolumis acies: misera caecitas. Ea possunt paria non esse. Duo Reges: constructio interrete. </p>

<p>Si longus, levis dictata sunt. Immo alio genere; Eadem fortitudinis ratio reperietur. Nihil opus est exemplis hoc facere longius. Certe non potest. </p>

<p>Primum quid tu dicis breve? Polycratem Samium felicem appellabant. Ea possunt paria non esse. Ne in odium veniam, si amicum destitero tueri. Itaque ad tempus ad Pisonem omnes. Sed quot homines, tot sententiae; </p>

<h3>An nisi populari fama?</h3>

<p>Nam ante Aristippus, et ille melius. Restatis igitur vos; Quod equidem non reprehendo; Ille enim occurrentia nescio quae comminiscebatur; </p>

<p>Velut ego nunc moveor. Huius, Lyco, oratione locuples, rebus ipsis ielunior. Sed mehercule pergrata mihi oratio tua. </p>

<dl>
	<dt><dfn>Istic sum, inquit.</dfn></dt>
	<dd>Graece donan, Latine voluptatem vocant.</dd>
	<dt><dfn>Eam stabilem appellas.</dfn></dt>
	<dd>Quae cum essent dicta, discessimus.</dd>
	<dt><dfn>Immo videri fortasse.</dfn></dt>
	<dd>Nihil enim iam habes, quod ad corpus referas;</dd>
	<dt><dfn>Confecta res esset.</dfn></dt>
	<dd>Ergo illi intellegunt quid Epicurus dicat, ego non intellego?</dd>
	<dt><dfn>Stoicos roga.</dfn></dt>
	<dd>Multa sunt dicta ab antiquis de contemnendis ac despiciendis rebus humanis;</dd>
</dl>


<p>Aliter homines, aliter philosophos loqui putas oportere? <b>Hic ambiguo ludimur.</b> Sed ad illum redeo. <a href=""http://loripsum.net/"" target=""_blank"">Conferam avum tuum Drusum cum C.</a> <a href=""http://loripsum.net/"" target=""_blank"">Et quod est munus, quod opus sapientiae?</a> An tu me de L. </p>

<p><b>Dicimus aliquem hilare vivere;</b> Et quod est munus, quod opus sapientiae? Quid igitur, inquit, eos responsuros putas? Memini vero, inquam; </p>

<h2>His enim rebus detractis negat se reperire in asotorum vita quod reprehendat.</h2>

<p>Et quod est munus, quod opus sapientiae? <a href=""http://loripsum.net/"" target=""_blank"">Ratio quidem vestra sic cogit.</a> Quis istud possit, inquit, negare? Haeret in salebra. <a href=""http://loripsum.net/"" target=""_blank"">Quae similitudo in genere etiam humano apparet.</a> Eadem fortitudinis ratio reperietur. </p>

"
8,"<h2>Quis Aristidem non mortuum diligit?</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Igitur ne dolorem quidem. <mark>Immo alio genere;</mark> Quid iudicant sensus? Multoque hoc melius nos veriusque quam Stoici. <i>Quis hoc dicit?</i> </p>

<ul>
	<li>Perturbationes autem nulla naturae vi commoventur, omniaque ea sunt opiniones ac iudicia levitatis.</li>
	<li>Eaedem enim utilitates poterunt eas labefactare atque pervertere.</li>
	<li>Expressa vero in iis aetatibus, quae iam confirmatae sunt.</li>
	<li>Ut nemo dubitet, eorum omnia officia quo spectare, quid sequi, quid fugere debeant?</li>
	<li>Tum ille: Tu autem cum ipse tantum librorum habeas, quos hic tandem requiris?</li>
</ul>


<p>Duo Reges: constructio interrete. <a href=""http://loripsum.net/"" target=""_blank"">Sed videbimus.</a> Istic sum, inquit. Qui est in parvis malis. <i>Huius, Lyco, oratione locuples, rebus ipsis ielunior.</i> <a href=""http://loripsum.net/"" target=""_blank"">Utram tandem linguam nescio?</a> </p>

<p>Quis negat? <i>Duo enim genera quae erant, fecit tria.</i> </p>

<p>Si longus, levis dictata sunt. Primum Theophrasti, Strato, physicum se voluit; Numquam facies. At coluit ipse amicitias. Nondum autem explanatum satis, erat, quid maxime natura vellet. Traditur, inquit, ab Epicuro ratio neglegendi doloris. </p>

<p>Quod equidem non reprehendo; <a href=""http://loripsum.net/"" target=""_blank"">Quae diligentissime contra Aristonem dicuntur a Chryippo.</a> Nihil ad rem! Ne sit sane; </p>

<p>Apparet statim, quae sint officia, quae actiones. De hominibus dici non necesse est. Simus igitur contenti his. Neutrum vero, inquit ille. Haec para/doca illi, nos admirabilia dicamus. <a href=""http://loripsum.net/"" target=""_blank"">Audeo dicere, inquit.</a> </p>

<p>Quo igitur, inquit, modo? Quam illa ardentis amores excitaret sui! Cur tandem? </p>

<p>Duarum enim vitarum nobis erunt instituta capienda. <a href=""http://loripsum.net/"" target=""_blank"">Collatio igitur ista te nihil iuvat.</a> Hic nihil fuit, quod quaereremus. Beatus sibi videtur esse moriens. Ergo, inquit, tibi Q. </p>

"
9,"<h2>Sapientem locupletat ipsa natura, cuius divitias Epicurus parabiles esse docuit.</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. <b>Occultum facinus esse potuerit, gaudebit;</b> Si id dicis, vicimus. Ad eos igitur converte te, quaeso. Duo Reges: constructio interrete. <mark>Quorum sine causa fieri nihil putandum est.</mark> Praeteritis, inquit, gaudeo. Graece donan, Latine voluptatem vocant. </p>

<p><a href=""http://loripsum.net/"" target=""_blank"">Tamen a proposito, inquam, aberramus.</a> Cave putes quicquam esse verius. </p>

<p>Sed ea mala virtuti magnitudine obruebantur. Urgent tamen et nihil remittunt. Quo igitur, inquit, modo? Tria genera bonorum; Nam ante Aristippus, et ille melius. Disserendi artem nullam habuit. </p>

<p>Maximus dolor, inquit, brevis est. <mark>Sed haec omittamus;</mark> Quod cum dixissent, ille contra. Nos cum te, M. Igitur ne dolorem quidem. </p>

<p>Quid ergo? <a href=""http://loripsum.net/"" target=""_blank"">Venit ad extremum;</a> Venit ad extremum; Expectoque quid ad id, quod quaerebam, respondeas. Id enim natura desiderat. Quid, quod res alia tota est? Prave, nequiter, turpiter cenabat; Quod cum dixissent, ille contra. </p>

<p>Praeclare hoc quidem. Non risu potius quam oratione eiciendum? Minime vero istorum quidem, inquit. <i>Sed virtutem ipsam inchoavit, nihil amplius.</i> Duarum enim vitarum nobis erunt instituta capienda. Pauca mutat vel plura sane; <a href=""http://loripsum.net/"" target=""_blank"">Sed fac ista esse non inportuna;</a> Cui Tubuli nomen odio non est? Quis istud, quaeso, nesciebat? </p>

<p>Idem adhuc; Quare conare, quaeso. Non laboro, inquit, de nomine. Sed virtutem ipsam inchoavit, nihil amplius. <b>Compensabatur, inquit, cum summis doloribus laetitia.</b> <a href=""http://loripsum.net/"" target=""_blank"">Aeque enim contingit omnibus fidibus, ut incontentae sint.</a> </p>

<blockquote cite=""http://loripsum.net"">
	Quo constituto tum licebit otiose ista quaerere, de magnitudine rerum, de excellentia, quanta in quoque sit ad beate vivendum, de istis ipsis obscurationibus, quae propter exiguitatem vix aut ne vix quidem appareant.
</blockquote>


<p>Laboro autem non sine causa; <a href=""http://loripsum.net/"" target=""_blank"">Numquam facies.</a> Cave putes quicquam esse verius. Venit ad extremum; </p>

"
10,"<h2>Sed quid attinet de rebus tam apertis plura requirere?</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Neutrum vero, inquit ille. Id est enim, de quo quaerimus. Non est igitur voluptas bonum. <a href=""http://loripsum.net/"" target=""_blank"">Sed plane dicit quod intellegit.</a> </p>

<p><a href=""http://loripsum.net/"" target=""_blank"">Optime, inquam.</a> <b>Omnia peccata paria dicitis.</b> Certe non potest. <b>Itaque contra est, ac dicitis;</b> </p>

<p><b>Quid ergo?</b> Sed fac ista esse non inportuna; Vestri haec verecundius, illi fortasse constantius. Bonum incolumis acies: misera caecitas. </p>

<p>Tum Quintus: Est plane, Piso, ut dicis, inquit. Deinde disputat, quod cuiusque generis animantium statui deceat extremum. Recte dicis; Scrupulum, inquam, abeunti; <i>Ratio enim nostra consentit, pugnat oratio.</i> </p>

<p>Duo Reges: constructio interrete. Itaque hic ipse iam pridem est reiectus; Primum quid tu dicis breve? Cur deinde Metrodori liberos commendas? <a href=""http://loripsum.net/"" target=""_blank"">At iste non dolendi status non vocatur voluptas.</a> <i>Disserendi artem nullam habuit.</i> </p>

<p>Omnis enim est natura diligens sui. <a href=""http://loripsum.net/"" target=""_blank"">Sed in rebus apertissimis nimium longi sumus.</a> <a href=""http://loripsum.net/"" target=""_blank"">At ego quem huic anteponam non audeo dicere;</a> <a href=""http://loripsum.net/"" target=""_blank"">Tamen a proposito, inquam, aberramus.</a> <mark>Bonum integritas corporis: misera debilitas.</mark> Quae quo sunt excelsiores, eo dant clariora indicia naturae. Bonum valitudo: miser morbus. </p>

<p>Qui ita affectus, beatum esse numquam probabis; Bestiarum vero nullum iudicium puto. Hoc mihi cum tuo fratre convenit. At iam decimum annum in spelunca iacet. Tria genera bonorum; Quis istud possit, inquit, negare? </p>

<h2>Quae est igitur causa istarum angustiarum?</h2>

<p>Quae quo sunt excelsiores, eo dant clariora indicia naturae. At coluit ipse amicitias. Scisse enim te quis coarguere possit? Minime vero istorum quidem, inquit. Qui convenit? Expectoque quid ad id, quod quaerebam, respondeas. </p>

"
