id,title,field_paragraphs,field_description,field_media_canonical_image
1,"Inquit, dasne adolescenti veniam?
",1,"Pauca mutat vel plura sane; Diodorus, eius auditor, adiungit ad honestatem vacuitatem doloris.

",1
2,Habent enim et bene longam et satis litigiosam disputationem.,2,"Haeret in salebra. Quo modo autem philosophus loquitur? Quod totum contra est. Simus igitur contenti his.

",2
3,"Ne discipulum abducam, times. Quam ob rem tandem, inquit, non satisfacit?",3,"Tollitur beneficium, tollitur gratia, quae sunt vincla concordiae.
",3
4,Qui est in parvis malis. Verum hoc idem saepe faciamus.,4,"Videsne quam sit magna dissensio? Sed quid sentiat, non videtis.",4
5,"Obsecro, inquit, Torquate, haec dicit Epicurus?",5,"Praeclare hoc quidem. Sed ad illum redeo. Itaque contra est, ac dicitis; Sic consequentibus vestris sublatis prima tolluntur. Sed nunc, quod agimus;",5
6,"Quam ob rem tandem, inquit, non satisfacit? ",6,Istam voluptatem perpetuam quis potest praestare sapienti? Negare non possum. Itaque his sapiens semper vacabit.,6
7,"Ego vero isti, inquam, permitto. Erat enim res aperta.",7,"Haec quo modo conveniant, non sane intellego. Nos commodius agimus. Erat enim Polemonis.",7
8,Quae diligentissime contra Aristonem dicuntur a Chryippo.,8,"Nonne videmus quanta perturbatio rerum omnium consequatur, quanta confusio? Deinde dolorem quem maximum?",8
9,"Utram tandem linguam nescio?
",9,"Ne discipulum abducam, times. Quid dubitas igitur mutare principia naturae?",9
10,"Quae cum dixisset paulumque institisset, Quid est?",10,"Quod ea non occurrentia fingunt, vincunt Aristonem;
",10
11,"Quid de Platone aut de Democrito loquar?
",11,"Gerendus est mos, modo recte sentiat. Addidisti ad extremum etiam indoctum fuisse.",11
12,Ut id aliis narrare gestiant?,12,"Pauca mutat vel plura sane; Nonne igitur tibi videntur, inquit, mala?",12
13,"Avaritiamne minuis?
",13,Quid enim possumus hoc agere divinius? Sed plane dicit quod intellegit.,13
14,"Deinde disputat, quod cuiusque generis animantium statui deceat extremum.
",14,"Sed hoc sane concedamus. Equidem etiam Epicurum, in physicis quidem, Democriteum puto.",14
15,"Quibusnam praeteritis? An eiusdem modi?

",15,Qualem igitur hominem natura inchoavit? Si quae forte-possumus. Quis hoc dicit?,15
